"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"147521","occ","","","13043","n. gen. Procolophon n. sp. trigoniceps","species","56758","","Procolophon trigoniceps","species","56758","Induan","Olenekian","251.902","247.2","29612"
"285740","occ","","","27134","n. gen. Eumetabolodon n. sp. bathycephalus","species","154291","","Eumetabolodon bathycephalus","species","154291","Olenekian","Anisian","251.2","242","7511"
"285752","occ","","","27158","Eumetabolodon bathycephalus","species","154291","","Eumetabolodon bathycephalus","species","154291","Olenekian","Anisian","251.2","242","7511"
"285753","occ","","","27160","n. gen. Eumetabolodon n. sp. dongshengensis","species","154293","recombined as","Youngetta dongshengensis","species","154293","Early Triassic","","251.902","247.2","7511"
"401600","occ","25802","","38528","n. gen. Procolina n. sp. teresae","species","202557","","Procolina teresae","species","202557","Olenekian","","251.2","247.2","38010"
"406858","occ","40234","","39159","n. gen. Gomphiosauridion n. sp. baileyae","species","139868","","Gomphiosauridion baileyae","species","139868","Carnian","","237","227","7923"
"411697","occ","","","39811","Timanophon raridentatus","species","161659","","Timanophon raridentatus","species","161659","Olenekian","","251.2","247.2","10285"
"465580","occ","","","46077","Haligonia sp.","genus","120881","","Haligonia","genus","120881","Rhaetian","","208.5","201.4","17881"
"558352","occ","","","57948","Leptopleuron lacertinum","species","95837","","Leptopleuron lacertinum","species","95837","Carnian","Norian","237","208.5","15587"
"690337","occ","41230","","13173","Hwiccewyrm trispiculum","species","478310","","Hwiccewyrm trispiculum","species","478310","Carnian","","237","227","86209"
"733515","occ","","","78686","n. gen. Coletta n. sp. seca","species","117592","","Coletta seca","species","117592","Olenekian","","251.2","247.2","26461"
"745262","occ","","","79946","Kapes cf. majmesculae","species","161712","","Kapes majmesculae","species","161704","Olenekian","","251.2","247.2","26868"
"745263","occ","","","79947","n. gen. Libognathus n. sp. sheddi","species","120516","","Libognathus sheddi","species","120516","Norian","","227","208.5","26869"
"747968","occ","","","80064","n. gen. Saurodectes n. sp. rogersorum","species","120878","recombined as","Saurodektes rogersorum","species","120878","Induan","","251.902","251.2","26918"
"748041","occ","33760","","80074","n. gen. Acadiella n. sp. psalidodon","species","120880","","Acadiella psalidodon","species","120880","Carnian","","237","227","26919"
"748059","occ","33761","","80079","n. gen. Haligonia n. sp. bolodon","species","120882","","Haligonia bolodon","species","120882","Carnian","","237","227","26919"
"748801","occ","33763","","80093","n. gen. Scoloparia n. sp. glyphanodon","species","120893","","Scoloparia glyphanodon","species","120893","Carnian","","237","227","26919"
"749261","occ","","","80140","Owenetta n. sp. kitchingorum","species","121092","subjective synonym of","Saurodektes rogersorum","species","120878","Induan","","251.902","251.2","26950"
"749299","occ","","","80143","n. gen. Hypsognathus n. sp. fenneri","species","121094","","Hypsognathus fenneri","species","121094","Norian","Rhaetian","227","201.4","26952"
"789764","occ","","","79946","Tichvinskia n. sp. majmesculae","species","161704","recombined as","Kapes majmesculae","species","161704","Olenekian","","251.2","247.2","31491"
"789766","occ","","","85454","n. gen. Kapes n. sp. amaenus","species","120513","","Kapes amaenus","species","120513","Olenekian","","251.2","247.2","28843"
"792528","occ","","","85939","n. gen. Sclerosaurus n. sp. armatus","species","139770","","Sclerosaurus armatus","species","139770","Aegean","Bithynian","247.2","244.7","28995"
"792529","occ","","","85940","Labyrinthodon n. sp. ruetimeyeri","species","139771","subjective synonym of","Sclerosaurus armatus","species","139770","Aegean","Bithynian","247.2","244.7","28995"
"792593","occ","","","85948","n. gen. Sauropareion n. sp. anoplus","species","139843","","Sauropareion anoplus","species","139843","Induan","Olenekian","251.902","247.2","29004"
"792619","occ","","","28396","n. gen. Phaanthosaurus n. sp. ignatjevi","species","139878","","Phaanthosaurus ignatjevi","species","139878","Induan","","251.902","251.2","29011"
"792621","occ","","","85957","Contritosaurus n. sp. convector","species","139924","subjective synonym of","Phaanthosaurus simus","species","139929","Induan","","251.902","251.2","29011"
"792622","occ","","","85958","n. gen. Anomoiodon n. sp. liliensterni","species","139851","","Anomoiodon liliensterni","species","139851","Aegean","","247.2","245.5","29018"
"795454","occ","","","86401","n. gen. Pintosaurus n. sp. magnidentis","species","140753","","Pintosaurus magnidentis","species","140753","Late Triassic","","237","201.4","29120"
"803135","occ","","","87410","Procolophon trigoniceps","species","56758","","Procolophon trigoniceps","species","56758","Early Triassic","","251.902","247.2","29423"
"803158","occ","","","87414","Procolophon trigoniceps","species","56758","","Procolophon trigoniceps","species","56758","Early Triassic","","251.902","247.2","29423"
"806914","occ","","","13043","Procolophon n. sp. minor","species","56759","subjective synonym of","Procolophon trigoniceps","species","56758","Induan","Olenekian","251.902","247.2","29615"
"807184","occ","","","27266","Procolophon trigoniceps","species","56758","","Procolophon trigoniceps","species","56758","Early Triassic","","251.902","247.2","29423"
"811330","occ","","","88977","Kapes n. sp. bentoni","species","161098","","Kapes bentoni","species","161098","Anisian","","247.2","242","28843"
"811331","occ","","","88978","Kapes ? bentoni","species","161098","","Kapes bentoni","species","161098","Anisian","","247.2","242","28843"
"811409","occ","","","89011","n. gen. Telerpeton n. sp. elginense","species","139768","objective synonym of","Leptopleuron lacertinum","species","95837","Carnian","Norian","237","208.5","29845"
"811667","occ","21727","","89078","Scoloparia glyphanodon","species","120893","","Scoloparia glyphanodon","species","120893","Carnian","","237","227","26919"
"811778","occ","","","89137","Hypsognathus fenneri","species","121094","","Hypsognathus fenneri","species","121094","Norian","Rhaetian","227","201.4","28983"
"811782","occ","","","89140","Hypsognathus fenneri","species","121094","","Hypsognathus fenneri","species","121094","Rhaetian","","208.5","201.4","26952"
"811785","occ","40238","","89142","Hypsognathus fenneri","species","121094","","Hypsognathus fenneri","species","121094","Norian","","227","208.5","26952"
"811795","occ","","","55446","n. gen. Soturnia n. sp. caliodon","species","120452","","Soturnia caliodon","species","120452","Norian","","227","208.5","26858"
"832113","occ","","","92107","Hypsognathus fenneri","species","121094","","Hypsognathus fenneri","species","121094","Norian","Rhaetian","227","201.4","31017"
"832114","occ","","IF","92107","Procolophonichnium sp.","genus","156486","","Procolophonichnium","genus","156486","Norian","Rhaetian","227","201.4","31017"
